Property,Value,Example Value,Description,Size
name,string,"Mary Brown",a human-readable name,max 150 char
image,URL or fully described ImageObject,,an image,max
description,string,"Humpty dumpty sat on a wall. This is my description.",a short description,max 240 char
emoji,string in emoji format :XXXX:,":1234:",an emoji,max 10 char
birthDate,string in ISO YYYY-MM-DD,"1995-04-26",a date of birth,max 10 char
url,string,"http://ceramic.network",a url,max 240 char
gender,string,"female",a gender,max 24 char
homeLocation,string,"Berlin, Germany",a place of residence,max 140 char
nationality,string,"United States",a nationality,max 140 char
affiliation,string,"Ceramic Ecosystem Alliance",affiliations,max 140 char
